Depth,Duration,Period,SNR,Even_Odd_Ratio,Secondary_Eclipse,Noise_Level,Transit_Shape,Label
0.0097,2.24,41.55,24.82,1.03,0,0.045,U,Planet
0.0179,2.06,16.93,20.14,0.96,0,0.044,U,Planet
0.0093,4.56,11.63,11.15,0.95,0,0.012,U,Planet
0.1498,6.19,24.88,8.57,0.75,0,0.078,V,False Positive
0.1131,7.57,28.86,8.17,0.72,1,0.041,Irregular,False Positive
0.0121,2.85,9.82,21.45,1.05,0,0.044,U,Planet
0.0219,2.44,21.66,10.4,1.03,0,0.041,U,Planet
0.0169,1.96,10.31,26.02,0.97,0,0.034,U,Planet
0.1512,9.67,8.99,13.64,0.84,1,0.048,Irregular,False Positive
0.1451,10.59,12.52,3.33,0.7,1,0.069,Smooth,False Positive
0.0807,4.86,2.85,14.85,0.76,1,0.048,Smooth,False Positive
0.062,8.14,7.97,2.74,0.84,1,0.076,Smooth,False Positive
0.023,3.79,49.88,15.19,0.99,0,0.026,U,Planet
0.0196,4.98,41.17,16.86,1.02,0,0.037,U,Planet
0.1841,9.37,15.71,12.99,0.84,0,0.051,Irregular,False Positive
0.0235,4.04,28.83,28.25,1.04,0,0.046,U,Planet
0.0106,2.28,43.83,18.41,1.04,0,0.025,U,Planet
0.1088,4.94,2.56,10.25,0.73,0,0.063,V,False Positive
0.0267,2.84,16.32,11.08,1.04,0,0.015,U,Planet
0.0136,4.96,44.86,29.73,0.96,0,0.044,U,Planet
0.0245,3.21,32.29,13.54,1.01,0,0.01,U,Planet
0.0656,10.19,17.71,4.06,0.81,0,0.039,Irregular,False Positive
0.0986,11.72,12.12,2.49,0.58,1,0.097,Irregular,False Positive
0.0054,1.51,37.21,14.53,1.04,0,0.022,U,Planet
0.0146,3.56,10.02,26.48,0.98,0,0.022,U,Planet
0.1037,9.49,4.88,14.95,0.7,0,0.042,Irregular,False Positive
0.0107,4.05,8.3,24.68,1.01,0,0.017,U,Planet
0.1509,10.34,11.88,10.32,0.81,0,0.072,V,False Positive
0.0213,1.57,35.11,18.34,0.99,0,0.032,U,Planet
0.1493,5.64,20.89,2.12,0.67,0,0.076,Irregular,False Positive
0.0155,4.65,26.56,22.35,0.98,0,0.041,U,Planet
0.0638,5.6,8.63,8.8,0.58,1,0.051,V,False Positive
0.1848,9.51,14.94,5.05,0.51,0,0.093,Smooth,False Positive
0.0554,4.72,15.84,11.41,0.54,1,0.075,Irregular,False Positive
0.0749,4.4,24.58,13.36,0.84,1,0.086,Irregular,False Positive
0.1556,4.76,22.99,2.6,0.84,0,0.053,Irregular,False Positive
0.1793,4.74,24.63,4.38,0.66,1,0.049,Irregular,False Positive
0.166,9.19,24.11,3.47,0.78,0,0.099,V,False Positive
0.0154,3.57,40.51,23.57,0.97,0,0.025,U,Planet
0.1339,10.9,26.52,11.45,0.86,1,0.094,V,False Positive
0.1049,4.51,19.99,2.16,0.85,0,0.098,Smooth,False Positive
0.1182,9.51,18.93,7.63,0.79,1,0.054,Smooth,False Positive
0.0553,10.61,26.87,9.97,0.5,0,0.065,Irregular,False Positive
0.1778,4.6,15.26,5.13,0.89,0,0.065,Smooth,False Positive
0.0986,5.88,14.31,12.42,0.68,1,0.061,V,False Positive
0.1567,4.14,12.7,2.47,0.72,0,0.085,Smooth,False Positive
0.1813,8.5,19.98,7.93,0.64,0,0.087,Irregular,False Positive
0.1252,8.96,14.72,10.54,0.79,0,0.037,Smooth,False Positive
0.0051,2.74,32.42,26.0,1.0,0,0.025,U,Planet
0.0061,2.07,8.74,24.34,1.02,0,0.014,U,Planet
0.0097,4.76,20.86,19.14,1.03,0,0.039,U,Planet
0.0239,1.66,32.4,23.44,0.96,0,0.046,U,Planet
0.1419,11.65,4.9,8.48,0.71,0,0.069,Irregular,False Positive
0.1871,10.25,27.4,10.99,0.57,0,0.037,Smooth,False Positive
0.1157,7.08,29.41,13.91,0.8,1,0.058,Irregular,False Positive
0.107,5.07,12.97,11.1,0.8,1,0.089,Smooth,False Positive
0.151,11.48,19.34,4.61,0.75,1,0.078,Smooth,False Positive
0.0295,3.78,48.0,20.08,1.02,0,0.023,U,Planet
0.024,3.47,29.97,28.85,1.02,0,0.037,U,Planet
0.1792,7.38,1.37,3.38,0.65,0,0.077,V,False Positive
0.1575,5.29,9.31,5.26,0.84,1,0.044,Smooth,False Positive
0.014,3.08,31.57,23.51,1.01,0,0.019,U,Planet
0.0704,10.27,24.17,5.74,0.77,1,0.057,Smooth,False Positive
0.1942,4.43,22.57,4.64,0.85,1,0.088,Smooth,False Positive
0.1584,8.37,18.5,12.09,0.89,1,0.061,Smooth,False Positive
0.0097,2.11,26.66,17.54,0.99,0,0.032,U,Planet
0.009,4.46,2.27,19.33,1.04,0,0.012,U,Planet
0.1315,10.19,19.14,12.96,0.62,1,0.035,Smooth,False Positive
0.1193,11.66,16.1,12.22,0.56,1,0.036,V,False Positive
0.0216,2.66,16.09,29.01,1.01,0,0.029,U,Planet
0.0079,2.71,13.54,22.85,1.04,0,0.02,U,Planet
0.0221,2.62,45.96,28.9,0.99,0,0.032,U,Planet
0.0342,8.13,23.34,8.69,0.7,1,0.033,Smooth,False Positive
0.013,1.79,6.61,29.43,1.03,0,0.031,U,Planet
0.0103,3.7,12.23,23.71,1.03,0,0.018,U,Planet
0.1399,11.52,22.66,4.0,0.68,1,0.033,V,False Positive
0.0094,2.38,5.38,26.43,1.04,0,0.026,U,Planet
0.1371,7.46,1.49,10.75,0.71,0,0.083,Smooth,False Positive
0.0225,1.75,46.55,12.12,1.03,0,0.022,U,Planet
0.012,4.74,20.31,26.44,0.95,0,0.016,U,Planet
0.0084,2.87,40.28,20.91,1.05,0,0.016,U,Planet
0.1928,4.09,26.37,3.84,0.52,1,0.068,V,False Positive
0.0657,9.93,22.05,4.75,0.86,0,0.041,V,False Positive
0.063,5.45,24.19,13.08,0.84,1,0.075,V,False Positive
0.1442,6.01,6.73,9.55,0.88,1,0.039,Smooth,False Positive
0.0075,3.67,45.21,16.36,1.0,0,0.035,U,Planet
0.1479,5.22,17.44,12.5,0.88,0,0.03,V,False Positive
0.0228,3.74,15.28,17.19,1.02,0,0.023,U,Planet
0.1087,6.87,9.86,9.17,0.57,0,0.089,V,False Positive
0.0116,4.6,5.67,11.51,0.95,0,0.03,U,Planet
0.0253,3.53,38.92,14.26,0.95,0,0.02,U,Planet
0.1412,5.19,12.38,13.59,0.74,1,0.039,Smooth,False Positive
0.0149,3.26,33.81,26.96,1.03,0,0.035,U,Planet
0.0239,1.99,9.64,21.33,1.01,0,0.045,U,Planet
0.0234,3.19,19.22,14.38,1.0,0,0.013,U,Planet
0.0698,9.35,16.02,12.29,0.66,1,0.092,V,False Positive
0.0475,11.75,19.37,5.56,0.8,0,0.056,Irregular,False Positive
0.1299,11.19,3.26,5.27,0.89,0,0.066,Irregular,False Positive
